CASE,SVC_MEAN,SVC_STD,RF_MEAN,RF_STD,KNN_MEAN,KNN_STD,GLOBAL_MEAN,GLOBAL_STD
ECORE_DUMMY_TOP_TP_BDSHAP,0.74,0.1541057983397459,0.8266666666666667,0.1673722438562261,0.75,0.16666666666666669,0.7722222222222221,0.04741464065189304
ECORE_DUMMY_RANK_TP_BDSHAP,0.16666666666666663,0.19819613000352104,0.27999999999999997,0.27916823709292443,0.1966666666666666,0.21238319560004842,0.2144444444444444,0.05872093449655029
ECORE_DUMMY_SIGN_TP_BDSHAP,0.72,0.14770978917519928,0.8233333333333333,0.167204519348864,0.7433333333333334,0.16986823968952777,0.7622222222222222,0.0541944373255875
ECORE_DUMMY_RANKSIGN_TP_BDSHAP,0.16333333333333333,0.19816781424796495,0.27999999999999997,0.27916823709292443,0.19333333333333327,0.21283190228617502,0.2122222222222222,0.060583581689847045
ECORE_DUMMY_TOP_TP_BDLIME,0.71,0.16174552903130324,0.5799999999999998,0.146948000758936,0.6966666666666669,0.1505321648682854,0.6622222222222223,0.07151793351890721
ECORE_DUMMY_RANK_TP_BDLIME,0.33,0.2616317611666795,0.42333333333333334,0.2409064438793229,0.1833333333333333,0.24788669074359648,0.31222222222222223,0.12098362301169958
ECORE_DUMMY_SIGN_TP_BDLIME,0.6633333333333333,0.1606314699422329,0.5433333333333333,0.1813715051920309,0.6566666666666668,0.18012964529292727,0.6211111111111111,0.06743995957997125
ECORE_DUMMY_RANKSIGN_TP_BDLIME,0.31999999999999995,0.2503420779742977,0.4,0.26378918903435544,0.17333333333333328,0.24836163488651314,0.29777777777777775,0.11495570805668948
ECORE_DUMMY_TOP_TP_LIMESHAP,0.8533333333333334,0.1913974833507396,0.6566666666666667,0.05714886933258843,0.8833333333333334,0.17326986665059035,0.7977777777777778,0.12312294367525194
ECORE_DUMMY_RANK_TP_LIMESHAP,0.2899999999999999,0.28684201042560975,0.22333333333333333,0.26824030635395185,0.48,0.3858321425176699,0.3311111111111111,0.13318046792618293
ECORE_DUMMY_SIGN_TP_LIMESHAP,0.8466666666666669,0.20333912891227146,0.6366666666666666,0.09587449708822045,0.8600000000000001,0.2074915654175282,0.7811111111111112,0.12527007860056857
ECORE_DUMMY_RANKSIGN_TP_LIMESHAP,0.2899999999999999,0.28684201042560975,0.21666666666666665,0.26111648393354675,0.4733333333333334,0.3912052228368887,0.32666666666666666,0.13220354676701299
ECORE_DUMMY_TOP_TN_BDSHAP,0.6733333333333336,0.24148809145897512,0.8033333333333335,0.19007352821459944,0.6600000000000001,0.21177460860189273,0.7122222222222224,0.07918567023376367
ECORE_DUMMY_RANK_TN_BDSHAP,0.3,0.32994915093052674,0.49666666666666665,0.3399841549090569,0.34333333333333327,0.30504548795125025,0.37999999999999995,0.10333333333333335
ECORE_DUMMY_SIGN_TN_BDSHAP,0.6033333333333333,0.23544022333796763,0.7399999999999999,0.2200907883275031,0.5833333333333333,0.2190429135575903,0.6422222222222221,0.08526646685755407
ECORE_DUMMY_RANKSIGN_TN_BDSHAP,0.26999999999999996,0.30223633359806584,0.45666666666666667,0.33047596868915075,0.31,0.2891801173867369,0.34555555555555556,0.09828153061109327
ECORE_DUMMY_TOP_TN_BDLIME,0.7233333333333334,0.20681432761174798,0.5733333333333334,0.1713483859284042,0.6133333333333333,0.19372884193514103,0.6366666666666667,0.07767453465154031
ECORE_DUMMY_RANK_TN_BDLIME,0.2533333333333333,0.2886556945372404,0.3666666666666667,0.25292897021310934,0.2266666666666667,0.2632781342649682,0.2822222222222222,0.07433657192745659
ECORE_DUMMY_SIGN_TN_BDLIME,0.5533333333333333,0.28117119172710253,0.4933333333333333,0.1980828426950348,0.5133333333333333,0.24352443950759023,0.52,0.03055050463303896
ECORE_DUMMY_RANKSIGN_TN_BDLIME,0.2033333333333333,0.250229972788445,0.31999999999999995,0.2547858412781702,0.19333333333333336,0.25150500973427264,0.23888888888888885,0.07042200834440364
ECORE_DUMMY_TOP_TN_LIMESHAP,0.7933333333333334,0.2107120097816395,0.5833333333333334,0.17326986665059033,0.6366666666666666,0.22768537174639739,0.6711111111111112,0.10915500361785907
ECORE_DUMMY_RANK_TN_LIMESHAP,0.2533333333333333,0.2847410070176775,0.31,0.21842719086789014,0.21666666666666665,0.2737075536331157,0.25999999999999995,0.04702245326555296
ECORE_DUMMY_SIGN_TN_LIMESHAP,0.69,0.3115977435088714,0.4799999999999999,0.19717420101101515,0.52,0.25212898200925565,0.5633333333333334,0.11150485789118486
ECORE_DUMMY_RANKSIGN_TN_LIMESHAP,0.22333333333333333,0.2553798253951459,0.24999999999999997,0.1974870181415874,0.18666666666666665,0.2565417948022488,0.21999999999999997,0.03179797338056486
ECORE_DUMMY_TOP_FP_BDSHAP,0.6936936936936937,0.09224157689734339,0.7837837837837838,0.16132583806082038,0.7207207207207208,0.12456129220394078,0.7327327327327328,0.04623064359862055
ECORE_DUMMY_RANK_FP_BDSHAP,0.15315315315315314,0.23033248371224813,0.2612612612612613,0.30565791351350086,0.15315315315315314,0.20176068507196185,0.18918918918918917,0.062416245317797416
ECORE_DUMMY_SIGN_FP_BDSHAP,0.6756756756756757,0.1238897978662839,0.7747747747747749,0.1581929992920832,0.7207207207207208,0.12456129220394078,0.7237237237237237,0.04961775267825322
ECORE_DUMMY_RANKSIGN_FP_BDSHAP,0.15315315315315314,0.23033248371224813,0.2522522522522523,0.3083749261776889,0.15315315315315314,0.20176068507196185,0.1861861861861862,0.05721489154131429
ECORE_DUMMY_TOP_FP_BDLIME,0.6756756756756758,0.054799662435119106,0.5945945945945946,0.15976709775647024,0.6666666666666667,0.07856742013183862,0.6456456456456457,0.04444038614699325
ECORE_DUMMY_RANK_FP_BDLIME,0.36036036036036034,0.25310879886733306,0.3873873873873874,0.26659158102061487,0.13513513513513511,0.24164379788935558,0.29429429429429427,0.13849672741862112
ECORE_DUMMY_SIGN_FP_BDLIME,0.6576576576576577,0.09579061806448398,0.5405405405405406,0.18174991893542355,0.6486486486486488,0.1095993248702382,0.6156156156156157,0.0651727760186508
ECORE_DUMMY_RANKSIGN_FP_BDLIME,0.3423423423423424,0.24198875709123047,0.3603603603603604,0.28737185419345196,0.13513513513513511,0.24164379788935558,0.2792792792792793,0.1251571530581064
ECORE_DUMMY_TOP_FP_LIMESHAP,0.9549549549549549,0.11552783220223033,0.6666666666666667,0.07856742013183862,0.8108108108108109,0.21574648675365854,0.8108108108108109,0.14414414414414406
